Year,Plot,Crop,Crop management operation,Tractor power (hp),Machinery weight (kg),Operating machine,Weight of the operating machine (kg),working speed (km h-1),Working width (m),type of pesticide,Amount of product (l ha-1) by concentration of active ingredient (kg l-1) (adjusted considering the total amount of product and the actual amount of active ingredient applied,Fertiliser amount (kg ha-1),Composition and nutrient content,Date,Notes,Amount of seed (kg ha-1)
2006,2,Maize,Disk harrowing,240,13381,Disk harrow,5443,8,8.53,,,,,,"CAT 45 (240hp) 6.6L 6-cylinder diesel, 22700 lbs",
2006,2,Maize,Chemical weeding,310,14061,Sprayer self propelled,,20,27.4,herbicide,1.7*0.54,,,13th June 2006,"JD R4038 sprayer (310hp) 6-cylinder 9.0 L diseal, 90 FT boom, 3800 L spray capacity, 31000 lbs without spray liquid",
2006,2,Maize,harrowing,239.2 KW,14099,heavy harrow with straight spring tine,7778,10,9.14,,,,,,"Based on Summer superchisels 28ft, CAT MT765 (320hp) 8.8L 6-cylinder diesel engine, 29500 lbs",
2006,2,Maize,harrowing,239.2 KW,14099,heavy harrow with straight spring tine,7778,10,9.14,,,,,,"Based on Summer superchisels 28ft, CAT MT765 (320hp) 8.8L 6-cylinder diesel engine, 29500 lbs",
2006,2,Maize,Seeding+ fertiliser application,239.2 KW,14099,seeding drill,5443,6.5,9.14,,,180,"NPKS 32-25-10-10, urea 46-0-0-0, (NH4)H2PO4 11-52-0-0, KCl 0-0-60-0, (NH4)2SO4, 20.5-0-0-24",," KCl 0-0-60 Viterra: Urea NH4H2PO4  11-52-0  KCl 0-0-60  (NH4)2SO4 20.5-0-0-24,  74,130 seeds/ha",74130 seed ha-1
2006,2,Maize,fertiliser application,405,4535,self propelled disk broadcaster,907,16.1,24.3,,,112,Urea 46%,17th May 2006,SpreadMagna 100 10 mph 6191 kg fertiliser capacity,
2006,2,Maize,harrowing,240,13381,straight spring tine harrow,3401,12,21.3,,,,,,On the basis of the 300hp 350F DRW 4*2 with a spreadmagna mount spreader,
2006,2,Maize,Chemical weeding,310,14061,Sprayer self propelled,,20,27.4,herbicide,1.7*0.54,,,13th June 2006,"JD R4038 sprayer (310hp) 6-cylinder 9.0 L diseal, 90 FT boom, 3800 L spray capacity, 31000 lbs without spray liquid",
2006,2,Maize,harvesting,340 (P 265),17237+(3855),combined harvester+265 Petrol truck 10.9 t full load,2722,6.88 ha h-1,9.144,,,,,6th october 2006,Cat Lexion 470,
2006,2,Maize,Mulching,240,13381,flail mower,2993,6.4,4.57,,,,,25th October 2006,"CAT 45 (240hp) 6.6L 6-cylinder diesel, 22700 lbs, Balzer 2500 25ft corn shredder 6600 lbs",
2006,3,Alfalfa,seeding,189,7801,mechanical seed drill,1067,7,3,,,,,28th May 2008,"90% alfalfa (Medicago sativa L. ???Gala??? preinoculated) and 10% timothy grass (Phleum pretense LIs there any seedbed preparation tillage before planting? Brillion drill SS10 pull type 4.735 bushels load,  2481 lbs;  Tractor model 6190R",12.5
2006,3,Alfalfa,mowing,189,7801,rotary  mowing,3325,7,4.5,,,,,14th July 2008,John Deere 956,
2006,3,Alfalfa,mowing,189,7801,rotary  mowing,3325,7,4.5,,,,,14th July 2008,John Deere 956,
2006,3,Alfalfa,Chemical weeding,310,14061,Sprayer self propelled,,20,27.4,herbicide,0.043*0.7,,,25th July 2008,"JD R4038 sprayer (310hp) 6-cylinder 9.0 L diseal, 90 FT boom, 3800 L spray capacity, 31000 lbs without spray liquid, 0.35% WW imazamox and imazethapyr; Odissey 43 g ha-1",
2006,3,Alfalfa,mowing,189,7801,rotary  mowing,3325,7,4.5,,,,,14th August and 20th August 2008,John Deere 956 rotary mower,
2007,3,Alfalfa,cutting,108,3290,Swather,2041,7,7.62,,,,,6th July,MacDon Swather 9350 with 25 ft 972 harvest header with 108 hp 3.9 Cummins Turbo Diesel,
2007,3,Alfalfa,windrowing,101,5670,tractor and windrower,613,11.3,2.6,,,,,6th July,"Agrland industries, JD 4250 (101hp) 7.6L 6-cyl diesel, 12500 lbs",
2007,3,Alfalfa,baling,101,5670,baler,2290,8,(1.9 pick up front),,,,,13th July 2009,"New Holland BR740, JD 4250 (101hp) 7.6L 6-cyl diesel, 12500 lbs",
2007,3,Alfalfa,bale collecting,101,5670,tractor + 10t trailer ,1200+(1000),4 ha h-1,,,,,,,"59 round bales, avg 525 kg each; total: 30 975 kg/19.76 ac=1568 kg/ac split between plots 1 and 4; : JD 4250 (101hp) 7.6L 6-cyl diesel, 12500 lbs",
2007,3,Alfalfa,cutting,108,3290,Swather,2041,7,7.62,,,,,19th November 2009,MacDon Swather 9350 with 25 ft 972 harvest header with 108 hp 3.9 Cummins Turbo Diesel,
2007,3,Alfalfa,windrowing,101,5670,tractor and windrower,613,11.3,2.6,,,,,23rd November,"Agrland industries, JD 4250 (101hp) 7.6L 6-cyl diesel, 12500 lbs",
