full description,Variable,Unit,Value,Notes
1 Fuel transport distance,f.t.d,km,11.7,from end user to farm centre 
2 fuel transport  mean,f.t.m,,truck,from end user to farm centre 
3 machinery transport distance,m.t.d,km,3.3,from farm centre to the field
4 number of trips per day,n.t.d,,1,from farm centre to the field
5 number of trips per day fertiliser ,n.t.f,,4,from farm centre to the field
6 distance to fertiliser  depot,d.f.d,km,11.7,from depot to field
7 number of trips grain harvest,n.t.g.h,,16,from farm centre to the field
8 number of trips bale collecting,n.t.b.c,,8,
9 distance of tranport of urea by truck,urea.transport.1.distance,km,100,from raw material extraction to local storehouse
10 distance of transport of urea by rail,urea.transport.2.distance,km,557,from raw material extraction to local storehouse
11 distance of tranport of ammonia by truck,ammonia.transport.1.distance,km,60,from raw material extraction to local storehouse
12 distance of transport of ammonia by rail,ammonia.transport.2.distance,km,1035,from farm centre to local storehouse
13 distance covered to collect grains from the harvester within the field,truck.harvest.transport.distance,Km ,0.5,accounting for petrol consumption considering that the 400 bushels truck just covers a 1000 m distance to collect the grains from the harvester
14 total full load covered to collect grains from the harvester within the field,truck.harvest.transport.amount,kg,10900,accounting for petrol consumption considering that the 400 bushels truck just covers a 1000 m distance to collect the grains from the harvester
15 type of transport mean covered to collect grains from the harvester within the field,truck.harvest.transport.mean,,petrol truck,accounting for petrol consumption considering that the 400 bushels truck just covers a 1000 m distance to collect the grains from the harvester
16 distance covered from the field to the farm for the truck used during harvest,truck.harvest.field.farm.centre.distance,km,3.3,Accounting for petrol consumption considering that the 400 bushels truck just covers a 3.3 m distance from the field to the farm centre during harvest
17 maximum number of trip per day from the field to the farm for the truck used during harvest,truck.harvest.field.farm.centre.maximum.trips.per.day,,10,Accounting for petrol consumption considering that the 400 bushels truck just covers a 3.3 m distance from the field to the farm centre during harvest n times per day
18 self propelled disk broadcaster  maximum number of trips per day,self.propelled.disk.broadcaster.max.number.per.day,,10,"Accounting for number of trips per day for the self propelled disk broadcaster from fertiliser depot to the field, this variable is introduced in the farm transport function because the self propelled disk broadcaster is coming from the depot to the field"
19 assumption related to the type of mean of transport for self propelled disk broadcaster,self.propelled.disk.broadcaster.mean.transport,,truck,"Assuming that the self propelled disk broadcaster has the same consumption of a small truck, this variable is introduced in the farm transport function because the self propelled disk broadcaster is coming from the depot to the field"
20 self propelled disk broadcastercapacity,self.propelled.disk.broadcaster.capacity,kg,5000,"Assuming that the self propelled disk broadcaster has the same consumption of a small truck, this variable is introduced in the farm transport function because the self propelled disk broadcaster is coming from the depot to the field"
21 fuel.production.location,fuel.production.location,,Manitoba,Location for fuel production in fp and tfp function
22 pesticide transport distance from local storehouse to the farm centre,pesticide.transport.distance,km,11.7,from local storehouse to the farm centre
23 pesticide production location,pesticide.production.location,,Canada,"European average values present in the Ecoinvent are present, the location should be present in the material list for different pesticides"
24 pesticide transport mean,pesticide.transport.mean,,petrol truck,from the factory gate to the local storehouse
25 location of the production of fuel needed for transport,transport.fuel.production.location,,Canada,"This variable it is utilised each time the ftp function is called, the ftp function combines the transport of material function (ft) with the fp which accounts for fuel production"
