Year,Plot,Crop,Crop.management.operation,operating machinery,Distance to field (km),Number of trips per day
2006,2,Maize,Disk harrowing,Disk harrow,3.3,1
2006,2,Maize,Herbicide treatment,Sprayer self propelled,6.43,10
2006,2,Maize,harrowing,heavy harrow with straight spring tine,3.3,1
2006,2,Maize,harrowing,heavy harrow with straight spring tine,3.3,1
2006,2,Maize,Seeding+ fertiliser application,seeding drill + aircart,3.3,5
2006,2,Maize,fertiliser application,self propelled disk broadcaster,11.7,5
2006,2,Maize,harrowing,straight spring tine harrow,3.3,1
2006,2,Maize,Herbicide treatment,Sprayer self propelled,6.43,10
2006,2,Maize,harvesting,combined harvester+265 Petrol truck 10.9 t full load,3.3,1
2006,2,Maize,harvesting,combined harvester+265 Petrol truck 10.9 t full load,3.3,10
2006,2,Maize,Mulching,flail mower,3.3,1
2006,3,Alfalfa,seeding,mechanical seed drill,3.3,5
2006,3,Alfalfa,mowing,rotary  mowing,3.3,1
2006,3,Alfalfa,mowing,rotary  mowing,3.3,1
2006,3,Alfalfa,weeding,Sprayer self propelled,6.43,10
2006,3,Alfalfa,mowing,rotary  mowing,3.3,1
2007,3,Alfalfa,cutting,Swather,3.3,1
2007,3,Alfalfa,windrowing,tractor*windrower,3.3,1
2007,3,Alfalfa,baling,baler,3.3,1
2007,3,Alfalfa,bale collecting,tractor + 10t trailer ,3.3,10
2007,3,Alfalfa,cutting,haybine,3.3,1
2007,3,Alfalfa,windrowing,Windrower ,3.3,1
2007,3,Alfalfa,baling,baler,3.3,1
2007,3,Alfalfa,bale collecting,tractor + 10t trailer ,3.3,10
2007,2,Wheat,cultivating,heavy harrow with straight spring tine,3.3,1
2007,2,Wheat,harrowing,straight spring tine harrow,3.3,1
2007,2,wheat,seeding and fertiliser application,seeding drill + aircart,3.3,5
2007,2,Wheat,weeding,Sprayer self propelled,6.43,10
2007,2,Wheat,harvesting,combined harvester+265 Petrol truck 10.9 t full load,3.3,1
2007,2,Wheat,harvesting,combined harvester+265 Petrol truck 10.9 t full load,3.3,10
2007,2,Wheat,baling,baler,3.3,1
2007,2,Wheat,bale collecting,tractor +10t trailer ,3.3,10
2007,2,wheat,cultivating,heavy harrow with straight spring tine,3.3,1
2007,2,wheat,cultivating,heavy harrow with straight spring tine,3.3,1
2008,2,Rapeseed,Seeding,seeding drill + aircart,3.3,5
2008,2,Rapeseed,fertiliser application,self propelled disk broadcaster,11.7,5
2008,2,Rapeseed,weeding,Sprayer self propelled,6.43,10
2008,2,Rapeseed,Cutting,Windrower ,3.3,1
2008,2,Rapeseed,harvesting,combined harvester+265 Petrol truck 10.9 t full load,3.3,1
2008,2,Rapeseed,harvesting,combined harvester+265 Petrol truck 10.9 t full load,3.3,10
2008,2,Rapeseed,harrowing,heavy harrow with straight spring tine,3.3,1
2008,2,Rapeseed,harrowing,straight spring tine harrow,3.3,1
2008,3,Alfalfa,cutting,Swather,3.3,1
2008,3,Alfalfa,windrowing,tractor+windrower,3.3,1
2008,3,Alfalfa,baling,baler,3.3,1
2008,3,Alfalfa,bale collecting,tractor +  10t trailer ,3.3,10
2008,3,Alfalfa,cutting,Swather,3.3,1
2008,3,Alfalfa,windrowing,tractor+windrower,3.3,1
2008,3,Alfalfa,baling,baler,3.3,1
2008,3,Alfalfa,bale collecting,tractor + 10t trailer ,3.3,10
2008,3,Alfalfa,Disk harrowing,Disk harrow,3.3,1
2008,3,Alfalfa,harrowing,heavy harrow with straight spring tine,3.3,1
2008,3,alfalfa,harrowing,straight spring tine harrow,3.3,1
